Case Nbr,Location,Date and Time Reported,Date and Time of Occurrence,Synopsis,Disposition,Crime
210310,Z4P Parking Lot,04/15/2021 0219 hours,04/15/2021 0219 hours,"An officer released  two students, pending the filing of charges, for possession of marijuana, which occurred in the Z4-P parking lot.",Cleared By Case Presentment,Possession of drug paraphernalia
210309,Z4R Parking Lot,04/14/2021 1430 hours,Between04/13/2021 220004/14/2021 1200,"An officer investigated burglary of a motor vehicle, which occurred in the Z4-R parking lot. Multiple items were stolen from an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
210308,Z4R Parking Lot,04/14/2021 1348 hours,Between04/13/2021 183004/14/2021 1345,"An officer investigated burglary of a motor vehicle, which occurred in the Z4-R parking lot. U.S. currency and multiple items were stolen from a secured  vehicle.",Open Inactive,Burgalry of a motor vehicle
210306,Z2B Parking Lot,04/14/2021 1313 hours,Between04/13/2021 181504/14/2021 1240,"An officer investigated burglary of a motor vehicle, which occurred in the Z2-B parking lot. The inside of an unsecured vehicle was damaged.",Open Inactive,Burgalry of a motor vehicle
210305,Z3L Parking Lot,04/14/2021 0453 hours,04/14/2021 0453 hours,"An officer investigated burglary of a motor vehicle, which occurred in the Z3-L parking lot. Multiple items were stolen from a secured vehicle.",Open Inactive,Burgalry of a motor vehicle
210304,Drive of Champions,04/14/2021 0021 hours,04/14/2021 0021 hours,"An officer arrested  a non-student for public intoxication, which occurred in the 3000 block  of Drive of Champions. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210303,C4 Parking Lot,04/13/2021 2208 hours,04/13/2021 2208 hours,"An officer investigated burglary of a motor vehicle, which occurred in the C4 parking lot. Multiple items were stolen from a secured vehicle.",Open Active,Burgalry of a motor vehicle
210302,Z4P Parking Lot,04/13/2021 1205 hours,Between04/11/2021 103004/13/2021 1150,"An officer investigated burglary of a motor vehicle, which occurred in the Z4-P parking lot. U.S. currency and shoes were stolen from an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
210301,Sneed Res. Hall,04/13/2021 1027 hours,Between04/11/2021 233004/13/2021 0900,"An officer investigated theft, which occurred at the west bicycle racks at Sneed Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210300,Texas Tech Plaza,04/13/2021 0907 hours,04/13/2021 0907 hours,"An officer issued a  non-student a criminal trespass warning for all Texas Tech property, following the report of a suspicious person, which occurred in the parking lot at Texas Tech Plaza.",Incident Report - Case Closed,Criminal trespass
210299,Pedestrian Bridge # 2 (RHC/ASC),04/13/2021 0721 hours,Between04/12/2021 170004/13/2021 0721,"An officer investigated graffiti, which occurred at Pedestrian Bridge #2.",Open Inactive,Vandalisim
210298,West Village A Res. Hall,04/11/2021 1705 hours,04/11/2021 1705 hours,"An officer documented information in reference to a welfare check on a student, which occurred at West Village A. An off-campus dispute between students  resulted in one of the student's being criminally trespassed from West Village Residence Halls.",Incident Report - Case Closed,Welfare check
210297,Coleman Res. Hall,04/10/2021 1256 hours,Between03/28/2021 140004/10/2021 1230,"An officer investigated theft, which occurred at the east bicycle racks at Coleman Residence Hall. Two tires were taken from a secured bicycle.",Open Inactive,Bike theft
210296,Clement Res. Hall,04/10/2021 0605 hours,Between04/10/2021 054004/10/2021 0605,"A officer released a  non-student, pending the filing of charges, for criminal trespass, which occurred at Clement Residence Hall. The non-student was transported to the University Medical Center Emergency Room by Emergency  Medical Services for a minor injury that occurred off campus.",Cleared By Case Presentment,Criminal trespass
210295,Sneed Res. Hall,04/10/2021 0141 hours,04/10/2021 0141 hours,"An officer released  three students, pending the filing of charges, for possession of marijuana, which occurred at Sneed Residence Hall. The three students were issued Lubbock County citations for possession of drug paraphernalia. All three students signed the citations and were released.",Cleared By Arrest,Possession of drug paraphernalia
210294,Sneed Res. Hall,04/09/2021 1254 hours,Between04/02/2021 200004/06/2021 1430,"An officer investigated theft, which occurred at the west bicycle racks at Sneed Residence Hall. A tire was stolen from a secured bicycle.",Open Active,Bike theft
210293,Z2D Parking Lot,04/08/2021 1848 hours,Between04/08/2021 163004/08/2021 1808,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z2-D parking lot.",Open Inactive,Striking of unattended vehicle
210292,Biology,04/08/2021 1702 hours,Between04/08/2021 133004/08/2021 1650,"An officer investigated theft, which occurred at the bicycle racks on the east side  of the Biology building. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210291,Z4M Parking Lot,04/07/2021 2141 hours,Between04/07/2021 181504/07/2021 1845,"An officer investigated burglary of a motor vehicle and criminal mischief, which occurred in the Z4-M parking lot. A secured vehicle was damaged and property was stolen.",Open Inactive,Burgalry of a motor vehicle
210290,Football Training Complex,04/07/2021 1649 hours,04/07/2021 1649 hours,"An officer issued a  non-student a criminal trespass warning for all Texas Tech property, which occurred on the north side of the Football Training Facility. The non-student left campus.",Incident Report - Case Closed,Criminal trespass
210289,"Talkington Res. Hall, J.T. & Margaret",04/07/2021 1004 hours,Between03/31/2021 110004/07/2021 1000,"An officer investigated theft, which occurred at the north bicycle racks at Talkington Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
210288,Flint Avenue Parking Garage,04/07/2021 0051 hours,04/07/2021 0051 hours,"An officer released  a student and non-student, pending the filing of charges, for possession of marijuana, which occurred on the 2nd floor of the Flint Avenue parking garage. Both were also issued Lubbock County citations for possession of drug paraphernalia which they signed and were released.",Cleared By Arrest,Possession of drug paraphernalia
210287,Z2D Parking Lot,04/06/2021 2354 hours,04/06/2021 2354 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred in the Z2-D parking lot. The student signed the citation  and was released.",Cleared By Arrest,Possession of drug paraphernalia
210286,Z2B Parking Lot,04/06/2021 2300 hours,04/06/2021 2300 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred in the Z2-B parking lot. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210285,R1 Parking Lot,04/06/2021 1529 hours,04/06/2021 1130 hours,"An officer documented information in reference to damaged property, which occurred in the R1 parking lot. A vehicle was damaged.",Incident Report - Case Closed,General Damaged Property
210284,"Tennis Center, Don & Ethel McLeod",04/06/2021 1213 hours,04/06/2021 1213 hours,"An officer detained  a student for an emergency detention, which occurred at the Tennis Center. The student was transported to Covenant Hospital where she was released to medical personnel.",Incident Report - Case Closed,Emergency detention
210282,Z4P Parking Lot,04/05/2021 0013 hours,04/05/2021 0013 hours,"An officer arrested  a non-student for possession of a controlled substance in PG1 (heroin) and possession of drug paraphernalia, which occurred in the Z4-P parking  lot. The non-student was transported to the Lubbock County Jail and the  vehicle was towed by Lubbock Wrecker Services.",Cleared By Arrest,Possession of drug paraphernalia
210281,Z3E Parking Lot,04/04/2021 1706 hours,Between04/02/2021 140004/04/2021 1700,"An officer investigated criminal mischief, which occurred in the Z3-E parking lot. Four wheel rims were damaged.",Open Inactive,Criminal mischief
210280,Z4M Parking Lot,04/04/2021 1359 hours,Between03/16/2021 173004/04/2021 1324,"An officer documented information in reference to a dispute between students, which  occurred at the Z4-M parking lot near Chitwood Residence Hall.",Incident Report - Case Closed,UNDEFINED
210279,Off Campus,04/04/2021 0840 hours,Between04/02/2021 170004/04/2021 0840,"An officer investigated duty on striking a fixture, which occurred at the intersection of North Quaker Avenue and Texas Tech Parkway. A vehicle struck and caused damage to the west perimeter fence of the Texas Tech University Native Rangeland property. The driver of the vehicle left the  scene without reporting the damage, leaving the disabled vehicle behind, which was towed by Lubbock Wrecker Services.",Open Inactive,UNDEFINED
210278,Texas Tech Parkway,04/04/2021 0331 hours,04/04/2021 0351 hours,"An officer arrested  a student for driving while intoxicated, which occurred in the 400 block of Texas Tech Parkway. The student was transported to the Lubbock  County Jail and the vehicle was towed by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210277,Boston Avenue,04/03/2021 2228 hours,04/04/2021 0025 hours,"An officer arrested  a non-student for public intoxication, which occurred in the 1400 block  of Boston Ave. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210276,University Avenue,04/03/2021 0200 hours,04/03/2021 0200 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana, which occurred in the 1800 block of University Avenue, following a traffic stop.",Cleared By Case Presentment,Possession of drug paraphernalia
210275,Gordon Res. Hall,04/02/2021 2344 hours,04/02/2021 2344 hours,"An officer investigated unlawful disclosure or promotion of intimate visual material, which occurred at Gordon Residence Hall.",Open Inactive,Unlawful disclosure/promotion of intimate visual material
210274,Bledsoe Res. Hall,04/01/2021 0817 hours,04/01/2021 0817 hours,"An officer arrested  a non-student for possession of marijuana and possession of drug paraphernalia, which occurred at Bledsoe Residence Hall. The non-student  was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210273,"Talkington Res. Hall, J.T. & Margaret",03/31/2021 2209 hours,03/31/2021 2209 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred at Talkington Residence Hall. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
